elevator(deg),beta(deg),alpha(deg),Cx,Cy,Cz,Cl,Cm,Cn
20.0,0.0,-5.0,-0.028769637092093157,1.0295266398985208e-16,0.02077519807838993,2.6363031688835117e-16,-0.315486956695303,-6.940681571255164e-17
20.0,0.0,0.0,-0.04427029929809801,-1.708158853894945e-15,-0.2479529848095341,1.5081792973804652e-15,-0.2546075270391966,7.959180782193785e-16
20.0,0.0,5.0,-0.02073514595717263,1.3424811349652608e-15,-0.6115085154653573,-1.3713062714834244e-15,-0.30966410709488223,-5.75354384120255e-16
20.0,0.0,10.0,0.038073079927639183,2.560423696134652e-15,-0.9448075345704606,-2.18446090675725e-15,-0.33314076388933356,-1.096634922908101e-15
20.0,0.0,15.0,0.13346007938479004,4.64779406075429e-15,-1.2890883339667105,-3.165053249693333e-15,-0.38361207037278844,-2.047283252690011e-15
20.0,0.0,20.0,0.26590594393297967,3.870259655565621e-15,-1.6338357030422206,-4.8444694006664215e-15,-0.4538533356221232,-1.9952750785720218e-15
20.0,0.0,25.0,0.434862894673879,1.4950776118708652e-15,-1.968822340466275,-7.294318026873364e-15,-0.5361198168245642,-1.2506537928292483e-15
20.0,2.0,-25.0,0.37218090000241316,-0.022407626347477193,1.3620077716680177,0.0026582563193245728,-0.1011750303990684,0.00863282718878139
20.0,2.0,-20.0,0.22008367596720205,-0.02141380447559911,1.0307819308385189,0.0017426786166934323,-0.1809619480477034,0.008379293164683003
20.0,2.0,-15.0,0.10293499531321755,-0.020463178753302322,0.692695422252448,0.0006517143943718062,-0.24440158890356742,0.008166721347432713
20.0,2.0,-10.0,0.020519060837292904,-0.01956647692920086,0.3523657024041148,-0.000650808281923819,-0.29145489467551816,0.007952870164654489
20.0,2.0,-5.0,-0.0283487175322787,-0.0197573387601374,0.020704985634091743,-0.0021046252009495497,-0.3152151317698015,0.008033435764318796
20.0,2.0,0.0,-0.03961073617209751,-0.026413435026655836,-0.34717903069865136,-0.004373561178650919,-0.37782909075930887,0.010240866100218198
20.0,2.0,5.0,-0.019603627830560303,-0.04047382501247438,-0.6110465600580661,-0.006994920150482388,-0.3099797861786747,0.015305324777750469
20.0,2.0,10.0,0.04070977193377941,-0.06590160470852009,-0.9452177629626302,-0.012767723492766423,-0.33562487092482013,0.024970329911367505
20.0,2.0,15.0,0.13839669067125393,-0.07530628484420931,-1.2915323265037997,-0.020643889282842103,-0.3908364179659955,0.03154823964068759
20.0,2.0,20.0,0.2754248841332971,-0.0400549064038822,-1.640609268258816,-0.02639619275281745,-0.47060947614514276,0.02399935766768721
20.0,2.0,25.0,0.4518651733628563,0.08193613029398697,-1.9817826800189604,-0.008561621393577546,-0.5678473388686383,-0.022192670006463657
20.0,4.0,-25.0,0.3717641900947977,-0.044845214652065875,1.3575809180698062,0.00527730611957039,-0.09955291932038988,0.017268565170621843
20.0,4.0,-20.0,0.220203387876669,-0.042922028803546314,1.027516016209823,0.003448797281703327,-0.17934979839238924,0.016784319850511875
20.0,4.0,-15.0,0.10349095920764058,-0.041139463454372645,0.6905697611789735,0.00127336005074863,-0.24288869147673953,0.01640131939011411
20.0,4.0,-10.0,0.02139881778880334,-0.03947722695435614,0.35472865915386154,-0.001341005292603052,-0.2859028410976902,0.01600844710264712
20.0,4.0,-5.0,-0.027173400257189326,-0.039867358619602444,0.022789759124741318,-0.00426095049960411,-0.3115618570454987,0.01618008959853591
20.0,4.0,0.0,0.12098481380903706,-0.06403758637448398,-0.7681204482148543,-0.010488411958454054,-0.8986484813979555,0.024973393129221953
20.0,4.0,5.0,-0.016194673873326904,-0.07926990382011874,-0.6094409083153627,-0.013972429607699137,-0.3106010121583408,0.03001102492943614
20.0,4.0,10.0,0.049276495878579754,-0.13331369661627462,-0.9468487561495802,-0.025323618973948903,-0.34353232805223693,0.0502092506267331
20.0,4.0,15.0,0.15615202739267167,-0.14773540340176508,-1.301022127281322,-0.04043242254120989,-0.4155993718322187,0.061889586741629574
20.0,4.0,20.0,0.31805132928267976,-0.07006930148147135,-1.6718188197945767,-0.05048762804755416,-0.540177592576118,0.04367808878554757
20.0,4.0,25.0,0.5935137890992772,0.2888517685949822,-2.088951981793225,0.013464166636762713,-0.8173135134969852,-0.09878046974155194
